IT、情報処理の素養はこれからの時代の『読み書きそろばん』,あいてぃーじょうほうしょりのそようはこれからのじだいのよみかきそろばん
一部の人だけに富が集まるあるいは無法者が得をする状態をつくってはなりません,いちぶのひとだけにとみがあつまるあるいはむほうものがとくをするじょうたいをつくってはなりません
一瞬、絶頂期を迎えて、高飛車な態度になってしまったのですかね,いっしゅんぜっちょうきをむかえてたかびしゃなたいどになってしまったのですかね
一生懸命貶めようとしているその努力は認めますよ,いっしょうけんめいおとしめようとしているそのどりょくはみとめますよ
行ってきます,いってきます
いっぱいいるよ,いっぱいいるよ
一般会計のプライマリーバランスも改ざんさせております,いっぱんかいけいのぷらいまりーばらんすもかいざんさせております
一般社団法人Colaboは、大変重要な活動をされていると考えています,いっぱんしゃだんほうじんこらぼはたいへんじゅうようなかつどうをされているとかんがえています
イッポンを、トリモロス,いっぽんをとりもろす
一方的に名前が出され私は大変当惑をいたしております,いっぽうてきになまえがだされわたしはたいへんとうわくをいたしております
いつまで続くのか、この苛立ちと不安,いつまでつづくのかこのいらだちとふあん
伊藤博文は畳の上で死にたくないと言っていた,いとうひろぶみはたたみのうえでしにたくないといっていた
意味のない質問だよ,いみのないしつもんだよ
いやオレも疲れるんだよ,いやおれもつかれるんだよ
いや責任があるから責任を私の私の責任を取ると…,いやせきにんがあるからせきにんをわたしのわたしのせきにんをとると
いわばまさに,いわばまさに
インターネットは、自由な空間です,いんたねっとはじゆうなくうかんです
隠蔽というのはですね、隠蔽というのはー、隠蔽というのはじゃあ、わたくしが隠蔽したんですか,いんぺいというのはですねいんぺいというのはいんぺいというのはじゃあわたくしがいんぺいしたんですか
ウィンウィン,うぃんうぃん
ウニについては合意しましたよ,うにについてはごういしましたよ
膿を出し切る,うみをだしきる
裏切り者は絶対に許さない！,うらぎりものはぜったいにゆるさない
ウラジーミル、君と僕は同じ未来を見ている,うらじみるくんとぼくはおなじみらいをみている
二人の力で駆けて、駆け、駆け抜けようではありませんか,ふたりのちからでかけてかけかけぬけようではありませんか
美しい星50,うつくしいほしごぜろ
エマ・トンプソン（エマ・ワトソン）,えまとんぷそんえまわとそん
円が300円になったらあっという間に経済は回復していくという考えはどうか,えんがさんぜろぜろえんになったらあっというまにけいざいはかいふくしていくというかんがえはどうか
エンゲル係数上昇は食生活の変化によるものです,えんげるけいすうじょうしょうはしょくせいかつのへんかによるものです
お祝いはどこでやるの,おいわいはどこでやるの
応援するよ。女性初の総理大臣、いいじゃないか,おうえんするよじょせいはつのそうりだいじんいいじゃないか
おお、おお！,おおおお
大げさだよ,おおげさだよ
おかしいよ,おかしいよ
音がうるさくてね。ちょっとね音がうるさいんだけど。ええ。,おとがうるさくてねちょっとねおとがうるさいんだけどええ
「お父さん、憲法違反なの」と言われた自衛官すらいます,おとうさんけんぽういはんなのといわれたじえいかんすらいます
私が言っていること、嘘だって言っているんでしょうそれ,わたしがいっていることうそだっていっているんでしょうそれ
お父さんも恋人を誘って、お母さんは昔の恋人を探し出して投票箱に足を運んでください,おとうさんもこいびとをさそっておかあさんはむかしのこいびとをさがしだしてとうひょうばこにあしをはこんでください
同じアベでもずいぶん違いますね,おなじあべでもずいぶんちがいますね
覚えてろ、次はお前らを倒してやる,おぼえてろつぎはおまえらをたおしてやる
お前もたまには1回くらい挫折しとけよ。そのほうが一皮むけて大きな政治家になれるよ,おまえもたまにはいちかいくらいざせつしとけよそのほうがひとかわむけておおきなせいじかになれるよ
オレだって、本当は平和が好きなんだよ,おれだってほんとうはへいわがすきなんだよ
御社のネットでも布マスク3300円で販売をしておられたということは承知をしております,おんしゃのねっとでもぬのますくさんさんぜろぜろえんではんばいをしておられたということはしょうちをしております
御党の辻元議員にも同じことが起こっているじゃないですか,おとうのつじもとぎいんにもおなじことがおこっているじゃないですか
改革実行力があるのは私たち自民党と、そして民主党であります,かいかくじっこうりょくがあるのはわたしたちじみんとうとそしてみんしゅとうであります
外交交渉はね、すがったら終わりなんです、男女の関係もそうですからね。,がいこうこうしょうはねすがったらおわりなんですだんじょのかんけいもそうですからね
外国から絶対に影響を受けてはならない,がいこくからぜったいにえいきょうをうけてはならない
ガイチテキ,がいちてき
柿くえば ◯◯◯◯◯◯◯ 奈良のまち」,かきくえばならのまち
閣議決定,かくぎけってい
格差なんていつの時代でもある、じゃあ朝日新聞の給料はいくらなんですか,かくさなんていつのじだいでもあるじゃああさひしんぶんのきゅうりょうはいくらなんですか
過去を振り返っても、あるいは前政権を批判しても、今現在、私たちが直面をしている危機、課題が解決されるわけではありません,かこをふりかえってもあるいはまえせいけんをひはんしてもいまげんざいわたしたちがちょくめんをしているききかだいがかいけつされるわけではありません
カツカレーが3500円する高級品だと批判した新聞社のカツカレーは5000円を超えているとネットで流れていた。時代は変わったと感じる,かつかれがさんごぜろぜろえんするこうきゅうひんだとひはんしたしんぶんしゃのかつかれはごぜろぜろぜろえんをこえているとねっとでながれていたじだいはかわったとかんじる
学校で皆からアベベと呼ばれていたんですよ,がっこうでみなからあべべとよばれていたんですよ
かつて、かつて偽メール、かつて偽メール事件がありましたね。かつて偽メール事件というのがあった。,かつてかつてにせめるかつてにせめるじけんがありましたねかつてにせめるじけんというのがあった
仮定の質問にはお答えすることはできない,かていのしつもんにはおこたえすることはできない
金はいくらでも出す。官房機密費もあるから,きんはいくらでもだすかんぼうきみつひもあるから
必ず勝ち取れ,かならずかちとれ
過半数があれば、それはﾌﾙﾁﾝになっていく,かはんすうがあればそれはふるちんになっていく
カブ（株）が上がりますように,かぶかぶがあがりますように
香山リカしは論外,かやまりかしはろんがい
彼こそ本当の『言うだけ番長』なのだけど,かれこそほんとうのいうだけばんちょうなのだけど
彼は強烈なリアリストなのです,かれはきょうれつなりありすとなのです
仮に自分が望まれるなら、自然と機運が高まり、私に対する熱気が一気に高まるはずだ,かりにじぶんがのぞまれるならしぜんときうんがたかまりわたしにたいするねっきがいっきにたかまるはずだ
勘ぐれ、お前,かんぐれおまえ
菅さんは（歴代首相に）入れないことに決めたから、菅さんは入らないよ,かんさんはれきだいしゅしょうにいれないことにきめたからかんさんはいらないよ
完全にブロック,かんぜんにぶろっく
簡単だった すごく簡単,かんたんだったすごくかんたん
聞いているように見えて、全然聞いてないんだよね,きいているようにみえてぜんぜんきいてないんだよね
岸田さんは怖い人だよ。自分にも他人にも、痛みを感じない。落胆もしないから、絶対に諦めない,きしださんはこわいにんだよじぶんにもたにんにもいたみをかんじないらくたんもしないからぜったいにあきらめない
キミじゃなくてよかったよ,きみじゃなくてよかったよ
君はアベノミクスを批判するのか？,くんはあべのみくすをひはんするのか
共産党！,きょうさんとう
議論はいよいよ煮詰まってきている,ぎろんはいよいよにつまってきている
きわめてマヌケな議員,きわめてまぬけなぎいん
極めて私は不愉快ですよ極めて私は不愉快なんです,きわめてわたしはふゆかいですよきわめてわたしはふゆかいなんです
気をつけよう、甘い言葉と民進党,きをつけようあまいことばとみんしんとう
気を引き締めていきます,きをひきしめていきます
金融庁は大バカ者だな。こんなことを書いて,きんゆうちょうはだいばかものだなこんなことをかいて
くだらない質問で終わっちゃったね、また,くだらないしつもんでおわっちゃったねまた
国がめちゃくちゃになる,くにがめちゃくちゃになる
クラクラする,くらくらする
くるくる回して力強く回して前に進んでいく必要がある,くるくるまわしてちからづよくまわしてまえにすすんでいくひつようがある
敬意・感謝・絆あればウイルス克服できる,けいいかんしゃきずなあればういるすこくふくできる
景気回復、この道しかない,けいきかいふくこのみちしかない
結構でございました。元気が出てくるようだ,けっこうでございましたげんきがでてくるようだ
兼山のハマグリは土佐の海に定着しました,かねやまのはまぐりはとさのうみにていちゃくしました
健康食品の機能性表示を解禁いたします,けんこうしょくひんのきのうせいひょうじをかいきんいたします
原稿には残念ながら山口県の物産が書いていない。よく忖度してほしい,げんこうにはざんねんながらやまぐちけんのぶっさんがかいていないよくそんたくしてほしい
検査数増えれば、感染者の絶対数増える可能性ある,けんさかずふえればかんせんしゃのぜったいすうふえるかのうせいある
現場も一生懸命、巨乳,げんばもいっしょうけんめいきょにゅう
権力はガンガンガンガン使うものなんですよ,けんりょくはがんがんがんがんつかうものなんですよ
憲法について、考え方の一つとして、いわば国家権力を縛るものだという考え方はありますが、しかし、それはかつて王権が絶対権力を持っていた時代の主流的な考え方,けんぽうについてかんがえかたのひとつとしていわばこっかけんりょくをしばるものだというかんがえかたはありますがしかしそれはかつておうけんがぜったいけんりょくをもっていたじだいのしゅりゅうてきなかんがえかた
小池さんは、常にジョーカーです,こいけさんはつねにじょかです
小泉さんはいいんだよ。外交のセンスがすごくあるのだ,こいずみさんはいいんだよがいこうのせんすがすごくあるのだ
乞うご期待です,こうごきたいです
(ここで水を飲む),ここでみずをのむ
国民の厳しい目が注がれていることを十分に意識しながら、事実に基づき、丁寧な上にも丁寧な説明をしていく努力を重ねていきたい,こくみんのいかめしいめがそそがれていることをじゅうぶんにいしきしながらじじつにもとづきていねいなうえにもていねいなせつめいをしていくどりょくをおもねていきたい
国会答弁で悪夢のような民主党と言ったことはない,こっかいとうべんであくむのようなみんしゅとうといったことはない
子供が生まれたのに保健所に預けられない,こどもがうまれたのにほけんしょにあずけられない
この甘さをとりながら、ストレスを解消する,このあまさをとりながらすとれすをかいしょうする
この心構えがそんなにおかしんでしょうかね、皆さん,このこころがまえがそんなにおかしんでしょうかねみなさん
この点の認識を北京の人々はとりわけ習近平主席は断じて見誤るべきではありません,このてんのにんしきをぺきんのひとびとはとりわけしゅうきんぺいしゅせきはだんじてけんあやまるべきではありません
このネクタイ大事にする,このねくたいだいじにする
このように利用されるのは最初から分かりきったこと,このようにりようされるのはさいしょからわかりきったこと
ご飯が欲しくなるね,ごめしがほっしくなるね
米も一つひとつが立ってて、輝いて,こめもひとつひとつがたっててかがやいて
これいくら？買っていこうかな,これいくらかっていこうかな
これから、トランプ大統領をお迎えします！,これからとらんぷだいとうりょうをおむかえします
これからの長い人生、失敗はつきもの。何回も失敗するかもしれない。大切なことはそこから立ち上がること。そして失敗から学べれば、もっとすばらしい,これからのながいじんせいしっぱいはつきものなんかいもしっぱいするかもしれないたいせつなことはそこからたちあがることそしてしっぱいからまなべればもっとすばらしい
これで私も終わりかもしれないね,これでわたしもおわりかもしれないね
これには反応しません,これにははんのうしません
これは一体何なんだと思うわけでして,これはいったいなになんだとおもうわけでして
これはインチキなんですよ,これはいんちきなんですよ
これは随分 辛口だ,これはずいぶんからくちだ
これは糖度の大変高い（トマト）,これはとうどのたいへんたかいとまと
これはちょっと3秒くらい考えればわかることだと思いますよ,これはちょっとさんびょうくらいかんがえればわかることだとおもいますよ
これはですね、街の声ですから。みなさん選んでいると思いますよ、もしかしたらね,これはですねまちのこえですからみなさんえらんでいるとおもいますよもしかしたらね
これは何が書いてあるのかな？,これはなにがかいてあるのかな
これはポル・ポトやスターリンが行おうとしたことです,これはぽるぽとやすたりんがおこなおうとしたことです
これは本当にまあ暴走してると思うね ジェンダーフリーナチズムみたいな,これはほんとうにまあぼうそうしてるとおもうねじぇんだふりなちずむみたいな
ゴルフは駄目でですね、テニスはいいのか、将棋ははいいのか、ということなんだろうと思いますよ,ごるふはだめでですねてにすはいいのかしょうぎははいいのかということなんだろうとおもいますよ
根拠のないことを言うのは嘘をつくのと同じですよ,こんきょのないことをいうのはうそをつくのとおなじですよ
今後とも私が先頭に立ちドリルの刃となってあらゆる岩盤規制を打ち破っていく決意だ,こんごともわたしがせんとうにたちどりるのはとなってあらゆるがんばんきせいをうちやぶっていくけついだ
こんな議論をやってたんじゃ何時間やったって同じですよ,こんなぎろんをやってたんじゃなんじかんやったっておなじですよ
こんなの通しちゃ駄目だよ,こんなのとうしちゃだめだよ
こんな人達に負けるわけにはいかない！,こんなひとたちにまけるわけにはいかない
サァバッ,さぁばっ
最強の第三者機関と言われるこの検察がしっかりと捜査をした結果がもう既に出ている,さいきょうのだいさんしゃきかんといわれるこのけんさつがしっかりとそうさをしたけっかがもうすでにでている
最近、学会幹部から慎重に行動するように言われ、恐ろしい団体だと思った,さいきんがっかいかんぶからしんちょうにこうどうするようにいわれおそろしいだんたいだとおもった
再犯防止,さいはんぼうし
櫻田大臣においては、文部科学副大臣としてオリンピック招致に大変御尽力した一人でございまして,さくらだだいじんにおいてはもんぶかがくふくだいじんとしておりんぴっくしょうちにたいへんごじんりょくしたひとりでございまして
サリンを弾頭に付けて着弾させるという能力については既に北朝鮮は保有している可能性がある,さりんをだんとうにつけてちゃくだんさせるというのうりょくについてはすでにきたちょうせんはほゆうしているかのうせいがある
Thank you very much.,てぃーえいちえーえぬけーわいおーゆーぶいいーあーるわいえむゆーしーえいち
3カ国の首脳は三国時代の「魏」「呉」「蜀」ではなく相争う者どうしではない,さんかくにのしゅのうはさんごくじだいのぎくれしょくではなくそうあらそうものどうしではない
珊瑚は大切に。,さんごはたいせつに
３・５年（寿命が）延びたね,ねんじゅみょうがのびたね
慚愧に堪えない思いであります,ざんきにこたえないおもいであります
三方よしということになるのではないか,みかたよしということになるのではないか
紫雲院殿政誉清浄晋寿大居士,しうんいんでんまつりごとよせいじょうすすむひさしだいこじ
自衛隊の諸君に愛する家族がいることを私は知っています,じえいたいのしょくんにあいするかぞくがいることをわたしはしっています
自衛隊を合憲化する,じえいたいをごうけんかする
事実上論破をさせていただいたと思っている,じじつじょうろんぱをさせていただいたとおもっている
事実4000ページ、これはみなさんも読んでおられないと思います,じじつよんぜろぜろぜろぺじこれはみなさんもよんでおられないとおもいます
時代を切り開いていこうとすれば、時には強い風圧を受けることもありますが,じだいをきりひらいていこうとすればときにはつよいふうあつをうけることもありますが
しっかりと受け継がれていくと私は確信しております,しっかりとうけつがれていくとわたしはかくしんしております
実際に行為を行っていた人、監督を担っていた人が責任を認識しなければいけない,じっさいにこういをいっていたにんかんとくをになっていたにんがせきにんをにんしきしなければいけない
実に「読ませるインタビュー」でした,じつによませるいんたびゅでした
実務をこなしているのは、政府なんだけれどなあ,じつむをこなしているのはせいふなんだけれどなあ
失礼な奴だ,しつれいなやつだ
自民党は結党以来強行採決しようと考えたことはない,じみんとうはけっとういらいきょうこうさいけつしようとかんがえたことはない
自民党は老壮青、人材の宝庫であります,じみんとうはろうそうあおじんざいのほうこであります
自分は嘘をついてしまったと認めた方がいいと思いますよ,じぶんはうそをついてしまったとみとめたほうがいいとおもいますよ
自分は5年で返り咲きました。あなたにも、いずれそういう日がやって来ますよ,じぶんはごねんでかえりざきましたあなたにもいずれそういうにちがやってきますよ
自分一人で判断をした,じぶんひとりではんだんをした
SHINE！,えすえいちあいえぬいー
週刊誌が本当だったら、亀井さんは大変な事になってますよ,しゅうかんしがほんとうだったらかめいさんはたいへんなことになってますよ
10年で国民の総所得を150万円増やしてまいります,いちぜろねんでこくみんのそうしょとくをいちごぜろまんえんふやしてまいります
首相とは長い付き合いだが、今までで最も面白いジョークだ,しゅしょうとはながいつきあいだがいままででもっともおもしろいじょくだ
首脳同士が握手するだけで地域の平和につながる,しゅのうどうしがあくしゅするだけでちいきのへいわにつながる
主の大御神様、救い主様、聖珠様、教え主様,おものおおみかさますくいしゅさまひじりしゅさまおしえしゅさま
春節に際して、更に多くの中国の皆様が訪日されることを楽しみにしています,しゅんせつにさいしてさらにおおくのちゅうごくのみなさまがほうにちされることをたのしみにしています
障害者雇用の短時間勤務職員,しょうがいしゃこようのたんじかんきんむしょくいん
人道上の観点から、資格を有する外国人の方には生活保護を支給しています,じんどううえのかんてんからしかくをゆうするがいこくじんのほうにはせいかつほごをしきゅうしています
新入社員っていうのは失敗するんですよね。,しんにゅうしゃいんっていうのはしっぱいするんですよね
森羅万象,しんらばんしょう
侵略という定義については、これは学界的にも国際的にも定まっていないと言ってもいいんだろうと思うわけでございます,しんりゃくというていぎについてはこれはがっかいてきにもこくさいてきにもさだまっていないといってもいいんだろうとおもうわけでございます
水銀による被害とその克服を経たわれわれだからこそ、世界から水銀の被害をなくすため、先頭に立って力を尽くす責任が日本にはある,すいぎんによるひがいとそのこくふくをへたわれわれだからこそせかいからすいぎんのひがいをなくすためせんとうにたってちからをつくすせきにんがにっぽんにはある
菅ちゃん、頼むよ,かんちゃんたのむよ
菅ちゃん、ちょっとまとめてよ,かんちゃんちょっとまとめてよ
スギハラアダチ,すぎはらあだち
ずぶずぶの関係とかいう品の悪い言葉,ずぶずぶのかんけいとかいうひんのわるいことば
すみません委員長ちょっと外の方がうるさくて,すみませんいいんちょうちょっとそとのほうがうるさくて
政権に都合のいい情報隠蔽は起こらない,せいけんにつごうのいいじょうほういんぺいはおこらない
背後（せいご）,はいごせいご
聖子ちゃんとは何回もハグしてるんだけどね。一杯飲んだら,せいこちゃんとはなんかいもはぐしてるんだけどねいっぱいのんだら
聖子ちゃん、〇〇やってよ,せいこちゃんやってよ
政策の失敗というが、失敗ではなくて、福島委員が政権におられたときよりも20万人、40万人増やしている,せいさくのしっぱいというがしっぱいではなくてふくしまいいんがせいけんにおられたときよりもにぜろばんにんよんぜろばんにんふやしている
政治責任うんぬんというのは理解できない,せいじせきにんうんぬんというのはりかいできない
政治とお金の問題にこれから根本的にメスを入れていくこと そして腐敗を厳しく防止する法律を一刻も早く作ること,せいじとおきんのもんだいにこれからこんぽんてきにめすをいれていくことそしてふはいをいかめしくぼうしするほうりつをいっこくもはやくつくること
政治は結果なんですよ,せいじはけっかなんですよ
政治は未来のためにある,せいじはみらいのためにある
政調会長が説明してくれないと収まりません！,せいちょうかいちょうがせつめいしてくれないとおさまりません
責任…ですかね,せきにんですかね
選挙で当選しなかったから捕まったんだよ（笑）,せんきょでとうせんしなかったからつかまったんだよわらい
選挙のためなら何でもする 誰とも組む 無責任な勢力に負ける訳にはいかない,せんきょのためならなんでもするだれともくむむせきにんなせいりょくにまけるわけにはいかない
税収というのは国民から吸い上げたものでありまして,ぜいしゅうというのはこくみんからすいあげたものでありまして
絶対に捕まらないようにします,ぜったいにつかまらないようにします
全然、ムッとしていないですよ。ただ1か所、気になったところがあった,ぜんぜんむっとしていないですよただいちかところきになったところがあった
先輩がご迷惑をおかけしたことをおわびしなければいけない,せんぱいがごめいわくをおかけしたことをおわびしなければいけない
そういう新しい獣医大学の考えはいいね,そういうあたらしいじゅういだいがくのかんがえはいいね
そういう親も指導しなければ行けない時代に、もう来ているのかなと思う,そういうおやもしどうしなければいけないじだいにもうきているのかなとおもう
そういう子供っぽいことはやめましょうよ,そういうこどもっぽいことはやめましょうよ
相当詳しく読売新聞に書いてありますから,そうとうくわしくよみうりしんぶんにかいてありますから
そうやって印象操作を一生懸命されていますけれども、一生懸命、一生懸命、そうやって一生懸命印象操作をされていますけれども,そうやっていんしょうそうさをいっしょうけんめいされていますけれどもいっしょうけんめいいっしょうけんめいそうやっていっしょうけんめいいんしょうそうさをされていますけれども
総理大臣として事実を述べてはならないということではないんだろう,そうりだいじんとしてじじつをのべてはならないということではないんだろう
総理大臣なので森羅万象全て担当していますから,そうりだいじんなのでしんらばんしょうすべてたんとうしていますから
そこでおいしいおいしいヨーグルトになりたいと思う,そこでおいしいおいしいよぐるとになりたいとおもう
外に出すことを前提にしていない発言,そとにだすことをぜんていにしていないはつげん
その資料はなんだよ,そのしりょうはなんだよ
そのとき社会はあたかもリセット・ボタンを押したようになって、日本の景色は一変するでしょう,そのときしゃかいはあたかもりせっとぼたんをおしたようになってにっぽんのけしきはいっぺんするでしょう
その北方領土については、の島々には、我が国が主権、北方領土の島々は我が国が主権を有する島々であるという立場でございます。,そのほっぽうりょうどについてはのしまにはわがくにがしゅけんほっぽうりょうどのしまはわがくにがしゅけんをゆうするしまであるというたちばでございます
『そもそも』という言葉の意味について、辞書で念のために調べてみたわけでありますが、これは『基本的に』という意味もある,そもそもということばのいみについてじしょでねんのためにしらべてみたわけでありますがこれはきほんてきにといういみもある
それはインフレがどんどん進んでいくという問題、もう1点は円の価値がどんどん暴落していくという問題。,それはいんふれがどんどんすすんでいくというもんだいもういちてんはえんのかちがどんどんぼうらくしていくというもんだい
それは私の事務所に関わることでありますから、担当する大臣から答弁させたいと思います,それはわたしのじむしょにかかわることでありますからたんとうするだいじんからとうべんさせたいとおもいます
そんなことできるはずがないじゃないですか,そんなことできるはずがないじゃないですか
そんなことより、一度は理想の上司と書かれてみたいものであります,そんなことよりいちどはりそうのじょうしとかかれてみたいものであります
そんなに興奮しないでください,そんなにこうふんしないでください
大丈夫だから、私を信じてついて来なさい,だいじょうぶだからわたしをしんじてついてこなさい
大体本当に悪巧みをしようとしたらそんな写真なんか出しませんよ,だいたいほんとうにわるだくみをしようとしたらそんなしゃしんなんかだしませんよ
代表なくして課税なし,だいひょうなくしてかぜいなし
大変、妄想をたくましくしておられますが、そんな事実は全くありません,たいへんもうそうをたくましくしておられますがそんなじじつはまったくありません
大量破壊兵器がないと証明できなかったイラクが悪い,たいりょうはかいへいきがないとしょうめいできなかったいらくがわるい
台湾の大根もだいぶウンチに近いよね,たいわんのだいこんもだいぶうんちにちかいよね
高市早苗を応援しない,たかいちさなえをおうえんしない
高市さんね、夫婦別氏、あれはダメだよ,たかいちさんねふうふべつしあれはだめだよ
高い倫理観を持て,たかいりんりかんをもて
だから、すみませんって言ってるじゃないか,だからすみませんっていってるじゃないか
だから何だってんだ,だからなんだってんだ
出すべきときは出すべきだ,だすべきときはだすべきだ
だって、こ、これに、書い、これに書……これに、これに書いてないじゃないですか？,だってここれにかいこれにかきこれにこれにかいてないじゃないですか
誰かにもらったんだよ,だれかにもらったんだよ
タル,たる
ちなみにですね民主党政権下の三年間は,ちなみにですねみんしゅとうせいけんしたのさんねんかんは
中国は長きにわたり日本のお手本でした,ちゅうごくはながきにわたりにっぽんのおてほんでした
チョーゼバ、イターキマス,ちょぜばいたきます
（お箸クルンッ),おはしくるんっ
ちょっと遺憾だった,ちょっといかんだった
ちょっとトイレ行ってきていい？,ちょっとといれいってきていい
賃上げの花が舞い散る春の風,ちんあげのはながまいちるはるのかぜ
次は菅さんとやり合ってくださいよ,つぎはかんさんとやりあってくださいよ
次は私自身が金正恩委員長と向き合わなければならない,つぎはわたしじしんがかねまさおんいいんちょうとむきあわなければならない
訂正でんでん,ていせいでんでん
ＴＰＰ断固反対と言ったことは一回も、ただの一回もございません,だんこはんたいといったことはいっかいもただのいっかいもございません
できない理由を考えるのではなく！,できないりゆうをかんがえるのではなく
テンドンヘイカ、バンザーイ！,てんどんへいかばんざい
天に対してブーメランを投げているようなものであります,てんにたいしてぶめらんをなげているようなものであります
天皇、皇后両陛下には末永くお健やかであらせられますことを願っていません。,てんのうこうごうりょうへいかにはすえながくおすこやかであらせられますことをねがっていません
同期一の男前は岸田、頭いいのは茂木、性格いいのは安倍,どうきいちのおとこまえはきしだあたまいいのはもてぎせいかくいいのはあべ
東京都大田区の中小企業を経営する細貝さんは、仲間と共に、ボブスレー競技用「そり」の国産化プロジェクトを立ち上げました,とうきょうとおおたくのちゅうしょうきぎょうをけいえいするほそがいさんはなかまとともにぼぶすれきょうぎようそりのこくさんかぷろじぇくとをたちあげました
糖度が高いのでしょうね,とうどがたかいのでしょうね
高い糖度だね,たかいとうどだね
同年代に嫌われたと悲しい思いがする。新聞の愛読者層ではないか,どうねんだいにきらわれたとかなしいおもいがするしんぶんのあいどくしゃそうではないか
トゥマ,とぅま
同盟関係がよければ1＋1が2以上になりますが、同盟関係がなければ1＋1は1にしかならない危険性を持っている,どうめいかんけいがよければいちいちがにいじょうになりますがどうめいかんけいがなければいちいちはいちにしかならないきけんせいをもっている
ときどき疲れた時などわたしたちのことを思い出してください,ときどきつかれたときなどわたしたちのことをおもいだしてください
TOKIOの皆さんに、総理公邸でお目にかかりました,てぃーおーけーあいおーのみなさんにそうりこうていでおめにかかりました
独自に戦った方が、維新らしいんじゃないの？,どくじにたたかったほうがいしんらしいんじゃないの
独自のそのまさに妄想をたくましくしておられて、独自のこの議論をしておられるんだろうと、こう思いますよ。,どくじのそのまさにもうそうをたくましくしておられてどくじのこのぎろんをしておられるんだろうとこうおもいますよ
特定の考え方を持つ人たちのための政治を行うつもりはありません,とくていのかんがえかたをもつにんたちのためのせいじをおこなうつもりはありません
とこやに、行きました。,とこやにいきました
ドナルド、温かい言葉をありがとう。ドナルドの友情に心から感謝します。,どなるどあたたかいことばをありがとうどなるどのゆうじょうにこころからかんしゃします
とにかく徳を積め,とにかくとくをつめ
トランプ氏とプーチン氏はきっとうまが合うと思う,とらんぷしとぷちんしはきっとうまがあうとおもう
トリクルダウンの政策だとあったが私はそんなことは一度も言ったことはない,とりくるだうんのせいさくだとあったがわたしはそんなことはいちどもいったことはない
取り消しなさいと言われても取り消しません,とりけしなさいといわれてもとりけしません
内閣総理大臣がチェック機関としての役割を果たすことに資する組織,ないかくそうりだいじんがちぇっくきかんとしてのやくわりをはたすことにしするそしき
ないものを証明するのは『悪魔の証明』だ！ 調べようがない,ないものをしょうめいするのはあくまのしょうめいだしらべようがない
ないよ、そんなもん,ないよそんなもん
"亡くなられた""ミヤケさん""のような方が町の安全を守っているのだと思います",なくなられたみやけさんのようなほうがまちのあんぜんをまもっているのだとおもいます
